rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
8,8,2,OLD,20175821,언더더씨,2017-06-22,58040800,1.1,15901600,37.7,288762000,7359,1946,36,37375,115,182
9,9,0,OLD,20178121,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,53321000,1,2882800,5.7,120018100,7217,282,4.1,16481,268,394
10,10,-2,OLD,20162343,악녀,2017-06-08,60680900,1.2,-6199800,-9.3,9630308344,7103,-807,-10.2,1192888,220,386
1,1,0,OLD,20178982,박열,2017-06-28,836172000,52.1,-1765426600,-67.9,9954428970,113352,-199836,-63.8,1293913,1089,5350
2,2,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,246206700,15.3,-946952400,-79.4,20226339128,31444,-109407,-77.7,2449582,807,3213
3,3,0,OLD,20159647,리얼,2017-06-28,159148000,9.9,-269350400,-62.9,2855740530,21996,-28738,-56.6,395717,634,2401
4,4,0,OLD,20158485,옥자,2017-06-29,96769400,6,-136241100,-58.5,993627800,13246,-16841,-56,130093,92,326
5,5,0,OLD,20166488,미이라,2017-06-06,45070200,2.8,-92372100,-67.2,30353769278,6130,-10225,-62.5,3667411,287,601
6,6,0,OLD,20166384,하루,2017-06-15,39556600,2.5,-66876400,-62.8,8984025542,5406,-7333,-57.6,1117264,376,842
7,7,0,OLD,20176961,지랄발광 17세,2017-06-28,38166400,2.4,-50131700,-56.8,354601400,4979,-5332,-51.7,44700,86,422
8,8,2,OLD,20162343,악녀,2017-06-08,29907200,1.9,-30773700,-50.7,9660215544,4046,-3057,-43,1196934,241,491
9,9,5,OLD,20020186,헤드윅,2002-08-09,17758900,1.1,-11407700,-39.1,168204231,2280,-1039,-31.3,21772,90,166
10,10,2,OLD,20174602,노무현입니다,2017-05-25,14496500,0.9,-28759600,-66.5,14402688312,2034,-3264,-61.6,1833227,163,275
1,1,0,OLD,20178982,박열,2017-06-28,765695800,48.5,-70476200,-8.4,10720124770,104154,-9198,-8.1,1398067,1102,5343
2,2,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,238474900,15.1,-7731800,-3.1,20464814028,30372,-1072,-3.4,2479954,801,3174
3,3,0,OLD,20159647,리얼,2017-06-28,144161600,9.1,-14986400,-9.4,2999902130,20030,-1966,-8.9,415747,635,2347
4,4,0,OLD,20158485,옥자,2017-06-29,92658400,5.9,-4111000,-4.2,1086286200,12652,-594,-4.5,142745,97,334
5,5,0,OLD,20166488,미이라,2017-06-06,44304700,2.8,-765500,-1.7,30398073978,5985,-145,-2.4,3673396,282,600
6,6,0,OLD,20166384,하루,2017-06-15,42487200,2.7,2930600,7.4,9026512742,5809,403,7.5,1123073,379,837
7,7,0,OLD,20176961,지랄발광 17세,2017-06-28,35682100,2.3,-2484300,-6.5,390283500,4716,-263,-5.3,49416,90,417
8,8,0,OLD,20162343,악녀,2017-06-08,27094200,1.7,-2813000,-9.4,9687309744,3656,-390,-9.6,1200590,240,481
9,9,3,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,27943000,1.8,19895000,247.2,55635000,3098,2092,208,6197,8,8
10,10,0,OLD,20174602,노무현입니다,2017-05-25,16299300,1,1802800,12.4,14418987612,2409,375,18.4,1835636,163,279
1,1,8,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,4247740050,84.8,4219797050,15101.4,4303375050,545302,542204,17501.7,551499,1703,9117
2,2,-1,OLD,20178982,박열,2017-06-28,431482500,8.6,-334213300,-43.6,11151607270,59576,-44578,-42.8,1457643,743,3228
3,3,0,OLD,20159647,리얼,2017-06-28,67192100,1.3,-76969500,-53.4,3067094230,10820,-9210,-46,426567,353,614
4,4,0,OLD,20158485,옥자,2017-06-29,74836200,1.5,-17822200,-19.2,1161122400,10095,-2557,-20.2,152840,91,276
5,5,-3,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,64895300,1.3,-173579600,-72.8,20529709328,8739,-21633,-71.2,2488693,392,988
6,6,1,OLD,20176961,지랄발광 17세,2017-06-28,23001700,0.5,-12680400,-35.5,413285200,3055,-1661,-35.2,52471,110,327
7,7,4,OLD,20020186,헤드윅,2002-08-09,10634700,0.2,-5448800,-33.9,194922431,1384,-794,-36.5,25334,64,109
8,8,-2,OLD,20166384,하루,2017-06-15,7741700,0.2,-34745500,-81.8,9034254442,1124,-4685,-80.7,1124197,120,156
9,9,1,OLD,20174602,노무현입니다,2017-05-25,7422400,0.1,-8876900,-54.5,14426410012,1098,-1311,-54.4,1836734,69,106
10,10,9,OLD,20178121,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,5343500,0.1,1361000,34.2,131888600,943,245,35.1,18507,49,56
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,3156783500,81.5,-1090956550,-25.7,7460158550,405399,-139903,-25.7,956898,1733,9170
2,2,0,OLD,20178982,박열,2017-06-28,405622100,10.5,-25860400,-6,11557229370,56290,-3286,-5.5,1513933,756,3182
3,3,1,OLD,20158485,옥자,2017-06-29,68173900,1.8,-6662300,-8.9,1229296300,9376,-719,-7.1,162216,93,273
