rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
4,4,1,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,63042600,1.6,-1852700,-2.9,20592751928,8558,-181,-2.1,2497251,380,901
5,5,-2,OLD,20159647,리얼,2017-06-28,41591700,1.1,-25600400,-38.1,3108685930,5955,-4865,-45,432522,313,503
6,6,0,OLD,20176961,지랄발광 17세,2017-06-28,22811400,0.6,-190300,-0.8,436096600,3060,5,0.2,55531,109,300
7,7,50,OLD,20176102,그 후,2017-07-06,15539300,0.4,15224300,4833.1,17518300,2170,2123,4517,2425,156,279
8,8,13,OLD,20176983,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,9974000,0.3,7253000,266.6,362813500,1332,982,280.6,43254,13,18
9,9,-2,OLD,20020186,헤드윅,2002-08-09,7798900,0.2,-2835800,-26.7,202721331,1070,-314,-22.7,26404,52,95
10,10,76,OLD,20176511,베를린 신드롬,2017-07-06,7179000,0.2,7141000,18792.1,11073000,998,992,16533.3,1486,73,146
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,4552872932,81.8,1396089432,44.2,12013031482,537526,132127,32.6,1494424,1796,9533
2,2,0,OLD,20178982,박열,2017-06-28,586398568,10.5,180776468,44.6,12143627938,73706,17416,30.9,1587639,747,3185
3,3,1,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,102013500,1.8,38970900,61.8,20694765428,12684,4126,48.2,2509935,399,950
4,4,-1,OLD,20158485,옥자,2017-06-29,82408400,1.5,14234500,20.9,1311704700,10831,1455,15.5,173047,102,303
5,5,0,OLD,20159647,리얼,2017-06-28,42265000,0.8,673300,1.6,3150950930,5625,-330,-5.5,438147,313,473
6,6,0,OLD,20176961,지랄발광 17세,2017-06-28,34619400,0.6,11808000,51.8,470716000,4322,1262,41.2,59853,119,313
7,7,0,NEW,20179807,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU], ,24240500,0.4,24240500,100,24240500,2529,2529,100,2529,14,26
8,8,-1,OLD,20176102,그 후,2017-07-06,17509202,0.3,1969902,12.7,35027502,2154,-16,-0.7,4579,168,291
9,9,0,OLD,20020186,헤드윅,2002-08-09,11802500,0.2,4003600,51.3,214523831,1394,324,30.3,27798,58,102
10,10,0,OLD,20176511,베를린 신드롬,2017-07-06,9581700,0.2,2402700,33.5,20654700,1175,177,17.7,2661,78,146
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,9290724642,82.6,4737851710,104.1,21303756124,1098751,561225,104.4,2593175,1965,10679
2,2,0,OLD,20178982,박열,2017-06-28,1113682758,9.9,527284190,89.9,13257310696,136469,62763,85.2,1724108,708,2897
3,3,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,231723500,2.1,129710000,127.1,20926488928,29332,16648,131.3,2539267,401,834
4,4,0,OLD,20158485,옥자,2017-06-29,177907800,1.6,95499400,115.9,1489612500,22912,12081,111.5,195959,104,322
5,5,1,OLD,20176961,지랄발광 17세,2017-06-28,51614200,0.5,16994800,49.1,522330200,6277,1955,45.2,66130,109,283
6,6,-1,OLD,20159647,리얼,2017-06-28,43563400,0.4,1298400,3.1,3194514330,5774,149,2.6,443921,240,335
7,7,21,OLD,20175821,언더더씨,2017-06-22,38224500,0.3,36459500,2065.7,335008100,4921,4628,1579.5,43576,86,125
8,8,14,OLD,20176741,꼬마참새 리차드: 아프리카 원정대,2017-06-15,33211500,0.3,30528100,1137.7,542979000,4413,3984,928.7,73096,59,99
9,9,14,OLD,20176983,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,32231500,0.3,28536000,772.2,398740500,3990,3570,850,47664,27,35
10,10,16,OLD,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,2017-06-29,23512900,0.2,21237600,933.4,118893200,3562,3234,986,17730,113,159
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,8168301700,83.1,-1122422942,-12.1,29472057824,970771,-127980,-11.6,3563946,1965,10524
